Character,x,y
Armarouge,-0.36638882247220556,-1.8819601854912689
Absol,5.905578267682482,-1.9631252632386793
Aegislash,-10.803126367107797,-2.3137019258161216
Azumarill,5.382411282528026,1.1517440818303166
Blastoise,6.335395969958802,2.549616912979263
Blaziken,-3.259253246242326,-0.39217422496733784
Blissey,-2.196774182229906,4.696885092555129
Buzzwole,11.362592927301186,0.6537095753382416
Ceruledge,-5.108176245056086,-0.8527082585717004
Chandelure,4.254715085161553,-0.6879689715931439
Charizard,-10.817939587989056,-0.6559113148089443
Cinderace,5.824517591303149,-3.676655676281648
Clefable,5.606661024252948,4.3423231596482506
Comfey,4.019238119527514,1.9738259303206467
Cramorant,-4.8371248602710875,-1.0363701171450868
Crustle,-4.282966817411144,4.1781203509439555
Decidueye,4.132982940147746,-3.343316084550689
Delphox,-0.6938329062638338,-1.852590199862883
Dodrio,-7.294826503140861,-3.140555817666542
Dragapult,-0.5678453538723313,-3.919528806459902
Dragonite,-1.0133725579520112,-2.054373995202825
Duraludon,0.04553794687765118,-2.110616700588261
Eldegoss,-7.673918688886036,1.7215684338591657
Espeon,8.683302344456447,1.0836944591115008
Falinks,1.7514763649961904,2.7722280305579496
Garchomp,-9.1289759485223,-0.8687486396899871
Gardevoir,-0.5654758301710455,-0.8856169931533806
Gengar,0.26558173661579315,-2.7661706292274264
Glaceon,13.309445337175775,0.0560763025194412
Goodra,4.616660509159888,2.379949292440479
Greedent,3.210198266759204,2.9931846422570523
Greninja,-2.910788598782948,-3.9586808771165316
Gyarados,-10.355407434765183,-1.3099407198024429
Ho-Oh,-7.729142787052564,2.558989495787588
Hoopa,-4.92200922755606,1.828474810891539
Inteleon,5.859715819817421,-2.468042856303869
Lapras,2.6384102627105332,3.4583259724308637
Leafeon,0.6361651562580934,-0.4869032715042102
Lucario,1.885530481544325,-1.574050339437758
Machamp,-0.21196301996659225,-1.3557796033128373
Mamoswine,-0.6289162093217155,1.4556516132136612
Meowscarada,2.93074625638465,-3.6596242224408004
Metagross,0.9179738909163068,0.22221079895456658
Mew,4.189419422562285,2.6019041162568435
Mewtwo X,0.06866522813064171,0.10308668968264628
Mewtwo Y,3.618730968436058,-1.6370350783069496
Mimikyu,-0.7539950447618093,0.39411432357349196
Miraidon,-8.285227373794434,-0.8452332350422034
Mr. Mime,-5.193886824135476,3.4712152445189
Ninetales,9.10698075470861,0.8611626311677922
Pikachu,-4.57671838175218,0.13046408985116206
Sableye,7.338351913379367,0.8387594134578591
Scizor,6.6041979408405815,-1.0046014303798385
Scyther,6.771666358991908,-2.363983772221871
Slowbro,0.03942983142740958,3.695172826240504
Snorlax,2.253035080031653,3.3704784054823977
Sylveon,6.069027141828342,1.7065705518175385
Talonflame,3.8513674212074345,-3.882421070616751
Trevenant,-5.48057502700515,2.617400311446744
Tsareena,-4.7587736378365815,-0.9858461979921939
Tyranitar,-5.076931235006169,-0.206334353768467
Umbreon,-4.232480628331922,4.286499397338739
Urshifu,-11.132971435810429,-1.1294057538904985
Venusaur,0.32322074935386974,-0.9469417533391192
Wigglytuff,-2.575243928790311,4.523521956854583
Zacian,-12.634726602500686,-0.6037519284313781
Zeraora,3.46689003193766,-2.4529562658083512
Zoroark,6.793934890386416,-3.4033023792968105
