Character,x,y
Absol,-0.4091702455046319,-0.23437239391159528
Aegislash,6.150178556697264,-0.6468616416779766
Armarouge,-11.03256842875432,0.6214494997351963
Azumarill,5.458735856670206,2.038542298847302
Blastoise,6.875702646791048,0.4560550136365731
Blaziken,-3.0838004446032214,0.7115826411627229
Blissey,-2.1992980311358528,-0.4703190882462474
Buzzwole,11.944351556240264,-0.7358108475069447
Ceruledge,-4.982641905321078,-0.12013151490965274
Chandelure,4.208118412748886,0.1970754603380584
Charizard,-10.824196648229204,-0.4633995886914411
Cinderace,5.784618792828266,-0.15378049597728333
Clefable,5.644276080096517,2.389165646293149
Comfey,3.8183935408682377,-0.7596500786987813
Cramorant,-4.94122784193052,-0.10412547074269886
Crustle,-4.246065260769977,0.32978382750171936
Decidueye,4.076573738383355,-0.5454720645309551
Delphox,-0.7417870378185425,1.3408500191283386
Dodrio,-7.3112555433441,-2.888705889200883
Dragapult,-0.6869654418430162,0.1659947439008295
Dragonite,-0.7764900039271317,-1.296354454914045
Duraludon,-0.10020803579082246,-1.9585231108842247
Eldegoss,-7.838870955452873,-0.29923717268677874
Espeon,8.63172307324301,-1.3908010422051247
Falinks,2.1435611670655863,8.735330646281566
Garchomp,-8.910498382223409,0.12995038679705986
Gardevoir,-0.6871411308217601,0.03546040196620008
Gengar,0.34545744344491164,-0.710851862148898
Glaceon,13.257209342027286,-0.7411431240963268
Goodra,5.173366429943686,0.48626968594338404
Greedent,3.625137193878477,-0.3449440800881775
Greninja,-3.107706740433771,0.6361137524006041
Gyarados,-10.240717711057762,0.4682820263160806
Ho-Oh,-7.5318010386901095,-0.7250915465381462
Hoopa,-5.15547591754438,0.5843105411223556
Inteleon,5.850557121704908,-1.1707809578783677
Lapras,3.081388960020172,2.0511530740370247
Leafeon,0.5216684068746039,-0.3154282798532998
Lucario,2.1549501941449174,-0.8978470252321696
Machamp,0.13674385038953873,-0.13765443372980196
Mamoswine,-0.3338454131841958,-1.0846818937523484
Meowscarada,3.071384893459874,0.05768363018671366
Metagross,1.41727411408978,1.615487636420322
Mew,3.916761568670528,-1.3894440907130698
Mewtwo X,0.3202022252340549,0.6548031846263014
Mewtwo Y,3.6528597216589525,0.3770048015038354
Mimikyu,-0.48532553867172606,1.117475449976961
Miraidon,-8.574239553462784,0.07138386078092337
Mr. Mime,-4.9871966369089575,0.1695187335129141
Ninetales,9.096487089338847,-0.015412842688093521
Pikachu,-4.878552193881779,0.36945340353626016
Sableye,7.354328425208067,-2.5717384668043786
Scizor,7.042709204948313,0.26384265963903597
Slowbro,0.29028562811668707,1.6530799804434526
Snorlax,2.7114522690680554,-0.2575061142425586
Sylveon,5.984704273085592,0.4638398350155812
Talonflame,3.992794317189851,-1.8339282405222312
Trevenant,-5.094879283198564,0.5630625795667431
Tsareena,-4.691061835515641,-1.988565700389845
Tyranitar,-4.568238166888731,1.3501219423518211
Umbreon,-4.115092464495338,-0.33164724534235396
Urshifu,-11.09358225294385,0.056348888186798986
Venusaur,0.2532503068995721,-0.2454047188147665
Wigglytuff,-2.4707647901587744,1.5782851258768862
Zacian,-12.4762378031134,-2.1813806135079044
Zeraora,3.591383972008229,-0.48942577952261535
Zoroark,6.998312304582677,-2.238339506382729
